"","Dealer","Parts_City","Parts_Province","Parts_City_and_Province","Parts_Postal_Code","Parts_Phone_Num","Parts_Fax_Num","F","Lang","LastName1","FistName1","LastName2","FistName2","LastName3","FistName3","LastName4","FistName4","LastName5","FistName5","LastName6","FistName6","LastName7","FistName7","LastName8","FistName8","LastName9","FistName9"
"1","24015","Regina              ","SK ","Regina              SK ","S4R 1X5","(306) 569-8777","(306) 781-7112","T","E","Reslein"," Mark","Reslein"," Mark",,,,,,,,,,,,,,
"2","34030","Winnipeg            ","MB ","Winnipeg            MB ","R3K 2H8","(204) 889-3700","(204) 831-4232","T","E","Godfrey"," Andy","Zaretskin"," Yakov","Wiebe"," Chris","Reimer"," Brent","Godfrey"," Andy","Reimer"," Brent","Zaretskin"," Yakov","Wiebe"," Chris",,
"3","42076","London              ","ON ","London              ON ","N6L 1J9","(519) 680-1900","(519) 686-0153","T","E","Engelmanas"," Peter","Engelmanas"," Peter",,,,,,,,,,,,,,
"4","75040","Halifax             ","NS ","Halifax             NS ","B3K 4X6","(902) 453-2331","(902) 455-1216","T","E","Ethier"," Dan","Maber"," Brian","Ethier"," Dan","Maber"," Brian",,,,,,,,,,
"5","01045","Nelson              ","BC ","Nelson              BC ","V1L 5R3","(250) 352-2235","(250) 352-3411","T","E","Clark"," Jocelyn",,,,,,,,,,,,,,,,
"6","01050","Kelowna             ","BC ","Kelowna             BC ","V1X 2K4","(250) 491-2475","(250) 491-1960","T","E","Korbyck"," Debbie",,,,,,,,,,,,,,,,
"7","01082","Port Moody          ","BC ","Port Moody          BC ","V3H 2C7","(604) 461-3656","(604) 461-9140","T","E","Scott"," Alan","Qi"," Victor","Iannantuoni"," Daniel",,,,,,,,,,,,
"8","01084","North Vancouver     ","BC ","North Vancouver     BC ","V7P 3R8","(604) 985-0591","(604) 985-0931","T","E","BARTLETT"," SANDRA",,,,,,,,,,,,,,,,
"9","01088","Surrey              ","BC ","Surrey              BC ","V3R 0H9","(604) 495-4100","(604) 495-4130","T","E","Toor"," Mustafa",,,,,,,,,,,,,,,,
"10","01089","Campbell River      ","BC ","Campbell River      BC ","V9W 2H4","(250) 287-9527","(250) 287-9896","T","E","Katerenchuk"," Kaylee","Hughes"," Megan",,,,,,,,,,,,,,
"11","01114","Victoria            ","BC ","Victoria            BC ","V8T 4N4","(250) 386-3516","(250) 386-2454","T","E","Neufeld"," William",,,,,,,,,,,,,,,,
"12","01117","New Westminster     ","BC ","New Westminster     BC ","V3M 4H2","(604) 520-3333","(604) 520-0379","T","E","VOONG"," JASON",,,,,,,,,,,,,,,,
"13","01122","Burnaby             ","BC ","Burnaby             BC ","V5C 6G9","(604) 291-8122","(604) 291-0181","T","E","Wong"," Terence",,,,,,,,,,,,,,,,
"14","01133","Castlegar           ","BC ","Castlegar           BC ","V1N 1H9","(250) 365-7241","(250) 365-2752","T","E","Eggers"," Jennifer",,,,,,,,,,,,,,,,
"15","01137","Surrey              ","BC ","Surrey              BC ","V4P 1A2","(604) 531-2916","(604) 535-0948","T","E","Tan"," Alex","ORFINO"," SARA","Vivash"," Dania","Houston"," Nathan",,,,,,,,,,
"16","01140","Vancouver           ","BC ","Vancouver           BC ","V6H 1G9","(604) 682-8881","(604) 682-7721","T","E","IP"," BILL","tuliao"," anthony",,,,,,,,,,,,,,
"17","01142","Prince George       ","BC ","Prince George       BC ","V2N 0B2","(250) 564-7205","(250) 563-2970","T","E","INGHAM"," JOSH","PARTEL"," NATASHA",,,,,,,,,,,,,,
"18","14001","Calgary             ","AB ","Calgary             AB ","T2G 1W3","(403) 243-8000","(403) 243-2686","T","E","Robinson"," Ashley",,,,,,,,,,,,,,,,
"19","14067","Calgary             ","AB ","Calgary             AB ","T3R 1R8","(403) 241-0888","(403) 241-0678","T","E","Thai"," Kenny",,,,,,,,,,,,,,,,
"20","14068","Red Deer County     ","AB ","Red Deer County     AB ","T4E 0A5","(403) 343-3736","(403) 346-4975","T","E","Milne"," Angela",,,,,,,,,,,,,,,,
"21","14073","Calgary             ","AB ","Calgary             AB ","T2J 7C6","(403) 278-6066","(403) 278-6223","T","E","Wolff"," Lee","Saghir"," Kassandra","Potter"," Terry",,,,,,,,,,,,
"22","14084","Dawson Creek        ","BC ","Dawson Creek        BC ","V1G 3G9","(250) 782-6614","(250) 782-1790","T","E","HOWELL"," CINDY","KUBERSKI"," ED",,,,,,,,,,,,,,
"23","14088","Calgary             ","AB ","Calgary             AB ","T3J 5H6","(403) 290-1111","(403) 290-1110","T","E","Pablo"," Kirby","Hetherington"," Suzanne","Driscoll"," Don","Wong"," Arnold",,,,,,,,,,
"24","14091","Sherwood Park       ","AB ","Sherwood Park       AB ","T8H 0C7","(780) 410-2455","(780) 410-2456","T","E","Chhina"," Gurtar","Schuster"," Ashlee",,,,,,,,,,,,,,
"25","14093","Drayton Valley      ","AB ","Drayton Valley      AB ","T7A 0B2","(780) 514-3868","(780) 514-3878","T","E","Barrera"," Jim",,,,,,,,,,,,,,,,
"26","14105","Edmonton            ","AB ","Edmonton            AB ","T6H 4J8","(780) 433-2411","(780) 431-0618","T","E","DUNCAN"," VICTORIA",,,,,,,,,,,,,,,,
