"","Dealer","Parts_City","Parts_Province","Parts_City_and_Province","Parts_Postal_Code","Parts_Phone_Num","Parts_Fax_Num","F","Lang","LastName1","FistName1","LastName2","FistName2","LastName3","FistName3","LastName4","FistName4","LastName5","FistName5","LastName6","FistName6","LastName7","FistName7","LastName8","FistName8","LastName9","FistName9"
"1","53045","TERREBONNE          ","QC ","TERREBONNE          QC ","J6W 6A6","(450) 471-4117","(450) 471-3996","T","F","RANON"," LEONARDO",,,,,,,,,,,,,,,,
"2","53065","Mont Laurier        ","QC ","Mont Laurier        QC ","J9L 1J9","(819) 623-3511","(819) 623-4649","T","F","TREMBLAY"," PATRICK",,,,,,,,,,,,,,,,
"3","53067","Richmond            ","QC ","Richmond            QC ","J0B 2H0","(819) 826-5923","(819) 826-6323","T","F","ALLARD"," GILLES",,,,,,,,,,,,,,,,
"4","53081","BUCKINGHAM          ","QC ","BUCKINGHAM          QC ","J8M 1Y7","(819) 986-2224","(819) 986-6701","T","F","SAUVE"," DANIEL",,,,,,,,,,,,,,,,
"5","53088","Quebec              ","QC ","Quebec              QC ","G1V 1A4","(418) 658-1340","(418) 658-0705","T","F","LABONTE"," ANDREE-ANNE","COULAMBE DESBIENS"," KIM","PELLETIER"," ALEXANDRA",,,,,,,,,,,,
"6","53119","Sherbrooke          ","QC ","Sherbrooke          QC ","J1J 2E9","(819) 563-6622","(819) 564-1286","T","F","LAROCHE"," VALERIE","GAUTHIER"," GUILLAUME","ROY"," CAROL-ANN",,,,,,,,,,,,
"7","53124","Trois-Rivieres      ","QC ","Trois-Rivieres      QC ","G8Z 4A7","(819) 374-5323","(819) 374-0846","T","F","HEROUX"," SAMANTHA",,,,,,,,,,,,,,,,
"8","53152","Drummondville       ","QC ","Drummondville       QC ","J2C 0L4","(819) 477-1777","(819) 474-6393","T","F","Boucher"," Stéphane",,,,,,,,,,,,,,,,
"9","53156","Gatineau            ","QC ","Gatineau            QC ","J8Z 3J6","(819) 776-0077","(819) 776-2782","T","F","Trepanier"," Richard","Arsenault"," Philippe",,,,,,,,,,,,,,
"10","53186","Quebec              ","QC ","Quebec              QC ","G1G 3Z8","(418) 623-9843","(418) 623-3578","T","F","Gaumond"," Dominic",,,,,,,,,,,,,,,,
